Temperature,Humidity,Air_Pressure,Wind_Speed,Weather_Condition
20.73,89.43,1008.65,10.21,Rainy
14.8,65.11,951.54,33.31,Stormy
15.93,59.49,965.82,16.49,Cloudy
16.76,34.9,990.73,27.16,Partly Cloudy
29.53,31.42,1004.48,6.41,Sunny
18.59,81.07,993.68,7.02,Rainy
3.22,55.82,993.99,38.81,Stormy
19.38,64.71,1012.35,18.2,Cloudy
19.62,66.98,1020.38,7.79,Partly Cloudy
27.67,33.61,1013.43,8.18,Sunny
23.32,88.96,987.56,13.6,Rainy
1.63,98.06,987.51,42.62,Stormy
14.74,54.83,984.56,19.92,Cloudy
22.67,45.31,1012.93,25.34,Partly Cloudy
25.39,23.52,1010.34,8.19,Sunny
24.77,85.5,1009.67,1.09,Rainy
7.37,54.57,957.99,37.66,Stormy
12.33,78.91,1016.81,15.04,Cloudy
22.79,51.35,1027.09,20.69,Partly Cloudy
25.0,32.9,1009.87,7.65,Sunny
28.54,97.25,990.96,12.16,Rainy
14.95,64.94,966.23,33.66,Stormy
23.44,72.33,966.34,24.73,Cloudy
24.62,64.02,973.37,17.62,Partly Cloudy
35.48,26.29,1006.67,12.27,Sunny
20.62,95.46,976.52,5.42,Rainy
0.65,68.22,969.0,46.11,Stormy
19.8,63.1,999.13,10.79,Cloudy
13.61,55.08,1014.9,24.35,Partly Cloudy
31.04,31.68,1007.36,14.45,Sunny
18.23,86.55,994.07,19.97,Rainy
3.02,76.16,967.31,40.52,Stormy
13.48,51.43,994.35,15.04,Cloudy
13.64,42.96,973.45,28.76,Partly Cloudy
33.72,34.44,996.92,13.55,Sunny
22.25,87.22,989.67,14.67,Rainy
8.5,63.58,957.28,42.12,Stormy
17.34,52.88,983.74,17.72,Cloudy
26.54,33.04,994.39,25.57,Partly Cloudy
34.73,18.7,1013.81,7.4,Sunny
22.48,99.3,1007.88,7.17,Rainy
2.11,66.28,951.52,30.42,Stormy
15.93,78.23,1012.28,17.67,Cloudy
21.3,30.24,985.09,5.62,Partly Cloudy
36.32,14.37,1014.76,9.65,Sunny
18.44,74.73,995.1,18.02,Rainy
10.78,67.43,979.37,36.22,Stormy
24.99,72.47,996.86,16.35,Cloudy
22.36,43.66,972.02,14.88,Partly Cloudy
38.96,28.79,983.36,13.27,Sunny
19.03,77.31,981.88,11.54,Rainy
8.17,74.57,985.88,36.33,Stormy
21.73,55.26,1006.96,19.96,Cloudy
23.66,49.26,1016.69,6.99,Partly Cloudy
37.77,11.67,985.95,8.65,Sunny
26.09,72.29,1006.83,19.47,Rainy
9.09,74.06,987.07,36.57,Stormy
17.4,77.48,1017.34,23.91,Cloudy
15.25,39.3,990.84,16.03,Partly Cloudy
29.71,21.23,1004.83,11.44,Sunny
26.03,94.43,971.29,0.95,Rainy
11.84,76.65,978.91,31.05,Stormy
13.83,69.15,1011.55,23.75,Cloudy
20.01,51.82,1028.31,18.44,Partly Cloudy
32.75,37.15,1011.6,13.64,Sunny
18.27,85.73,1003.7,2.22,Rainy
11.92,59.15,990.41,42.24,Stormy
12.9,64.2,1000.91,19.51,Cloudy
18.54,65.97,1006.35,17.65,Partly Cloudy
25.93,37.66,987.08,7.93,Sunny
27.05,76.46,991.09,4.81,Rainy
11.4,78.22,992.8,47.89,Stormy
19.73,71.76,992.95,15.77,Cloudy
22.96,66.33,999.17,12.86,Partly Cloudy
30.83,23.06,982.94,7.48,Sunny
22.41,87.65,984.51,12.26,Rainy
13.17,97.77,979.18,30.85,Stormy
24.54,71.18,980.16,12.21,Cloudy
12.87,36.71,973.19,27.55,Partly Cloudy
33.11,31.0,1013.12,11.87,Sunny
28.24,99.02,987.56,19.01,Rainy
10.85,53.53,984.09,43.73,Stormy
23.59,61.19,995.09,10.18,Cloudy
16.64,32.49,1006.53,25.44,Partly Cloudy
28.1,25.82,988.16,1.81,Sunny
22.66,72.37,993.49,0.63,Rainy
1.6,77.5,979.57,30.58,Stormy
18.6,75.16,1003.34,11.97,Cloudy
21.85,56.89,972.61,26.38,Partly Cloudy
38.59,35.51,1012.99,11.17,Sunny
24.5,90.36,1002.26,13.25,Rainy
4.92,68.8,994.85,30.34,Stormy
20.48,78.64,1002.37,24.91,Cloudy
23.75,31.37,1027.89,12.12,Partly Cloudy
31.69,19.36,990.74,6.47,Sunny
20.68,89.0,1002.53,5.94,Rainy
3.21,83.34,983.52,48.02,Stormy
10.24,75.59,991.26,19.32,Cloudy
11.83,47.3,985.91,11.36,Partly Cloudy
32.56,34.37,1009.75,8.86,Sunny
23.09,82.82,1008.91,11.2,Rainy
3.81,61.5,980.57,40.46,Stormy
10.12,74.9,1002.25,19.93,Cloudy
11.38,44.48,1035.48,26.56,Partly Cloudy
29.28,14.71,997.96,5.34,Sunny
25.23,98.99,984.52,1.24,Rainy
13.46,51.9,997.64,43.29,Stormy
24.13,55.99,962.44,17.32,Cloudy
19.01,43.26,1037.04,25.56,Partly Cloudy
34.92,14.89,1009.37,10.91,Sunny
21.38,97.74,976.68,5.35,Rainy
0.95,89.77,981.09,36.3,Stormy
12.46,51.2,970.0,16.8,Cloudy
14.94,40.36,1031.29,17.88,Partly Cloudy
35.94,11.07,994.61,7.19,Sunny
17.8,73.61,1004.81,18.79,Rainy
1.18,67.45,997.91,31.66,Stormy
19.65,79.17,1018.69,17.07,Cloudy
13.25,38.08,1032.27,27.79,Partly Cloudy
34.12,32.99,1009.6,9.93,Sunny
27.41,90.56,991.36,4.74,Rainy
11.16,73.67,964.74,46.04,Stormy
20.45,78.12,969.93,19.74,Cloudy
14.88,66.14,976.96,21.4,Partly Cloudy
36.87,20.65,1018.17,12.76,Sunny
19.42,70.23,981.87,5.63,Rainy
13.35,98.36,953.52,39.43,Stormy
18.22,52.79,982.65,14.76,Cloudy
20.72,56.45,1019.24,8.42,Partly Cloudy
37.19,30.36,1015.56,6.74,Sunny
28.41,95.97,987.54,7.62,Rainy
13.99,85.76,996.41,45.94,Stormy
19.14,53.48,977.49,24.53,Cloudy
16.39,33.73,1019.53,23.35,Partly Cloudy
29.28,18.93,998.76,0.33,Sunny
26.84,79.51,1004.15,16.05,Rainy
9.92,66.24,975.82,38.9,Stormy
15.08,75.44,989.01,22.49,Cloudy
12.1,35.64,1038.41,19.69,Partly Cloudy
32.65,25.69,988.61,10.78,Sunny
16.27,87.2,992.83,18.28,Rainy
7.89,56.85,978.64,31.83,Stormy
13.06,50.93,990.8,11.27,Cloudy
19.39,67.32,1020.38,6.94,Partly Cloudy
28.36,30.21,1015.79,0.49,Sunny
27.19,86.85,991.84,19.16,Rainy
11.21,92.51,967.7,41.09,Stormy
19.23,59.65,994.21,13.55,Cloudy
12.87,44.96,1021.75,27.9,Partly Cloudy
31.87,29.28,984.12,13.57,Sunny
23.53,93.41,1001.78,5.13,Rainy
7.94,98.02,954.48,43.66,Stormy
24.43,59.02,1011.69,24.0,Cloudy
24.94,39.25,993.38,5.9,Partly Cloudy
37.47,35.49,1005.31,5.29,Sunny
16.15,92.59,999.06,18.25,Rainy
10.96,91.43,987.3,42.61,Stormy
16.4,77.06,999.06,15.98,Cloudy
11.67,41.63,1008.06,11.89,Partly Cloudy
28.32,25.82,986.79,12.01,Sunny
22.27,87.22,975.9,6.49,Rainy
6.15,90.41,988.51,34.46,Stormy
19.24,57.3,1019.29,24.28,Cloudy
21.27,57.96,1026.1,23.02,Partly Cloudy
35.5,38.76,1003.86,9.54,Sunny
27.74,90.1,999.32,4.68,Rainy
5.57,57.37,975.29,39.11,Stormy
24.96,68.34,1007.19,15.01,Cloudy
26.63,54.6,1018.79,12.36,Partly Cloudy
33.23,29.02,1003.56,13.73,Sunny
28.47,99.13,996.7,19.44,Rainy
12.49,63.54,971.37,34.77,Stormy
10.06,55.64,960.24,20.8,Cloudy
18.51,42.5,1023.32,25.81,Partly Cloudy
39.63,29.26,998.46,4.58,Sunny
18.33,76.39,986.37,19.84,Rainy
0.01,59.86,959.42,44.34,Stormy
15.29,63.72,968.92,16.07,Cloudy
12.06,51.32,976.86,24.76,Partly Cloudy
33.5,31.72,996.74,5.72,Sunny
16.47,85.72,990.58,9.36,Rainy
11.11,91.63,987.54,32.88,Stormy
19.33,52.41,1001.68,15.73,Cloudy
12.65,64.48,1012.98,13.87,Partly Cloudy
25.46,26.12,1016.93,8.95,Sunny
29.57,74.09,992.73,15.96,Rainy
7.88,54.55,979.14,42.23,Stormy
20.93,72.84,1006.25,19.95,Cloudy
14.32,46.17,1024.33,28.84,Partly Cloudy
26.18,26.07,992.5,3.38,Sunny
22.59,88.18,970.39,15.6,Rainy
12.3,98.28,959.03,41.89,Stormy
16.4,60.04,993.94,21.74,Cloudy
10.46,68.78,1026.69,23.78,Partly Cloudy
36.41,21.67,1010.06,5.8,Sunny
28.48,75.32,981.69,11.03,Rainy
4.79,71.21,974.62,47.13,Stormy
17.85,60.87,974.86,16.13,Cloudy
20.31,59.84,978.47,10.54,Partly Cloudy
30.69,20.81,995.67,11.9,Sunny
19.86,85.06,994.96,4.64,Rainy
10.78,77.36,972.34,46.2,Stormy
13.65,76.5,993.66,19.14,Cloudy
27.5,62.7,1012.11,23.83,Partly Cloudy
31.5,26.42,982.48,1.35,Sunny
27.44,71.79,976.78,15.92,Rainy
0.02,64.12,979.2,41.91,Stormy
21.66,65.18,990.56,20.88,Cloudy
19.97,54.34,1032.84,15.04,Partly Cloudy
30.78,10.11,1004.54,0.45,Sunny
22.56,94.13,992.0,5.39,Rainy
11.79,63.49,986.65,42.21,Stormy
12.55,77.15,972.04,24.84,Cloudy
10.15,40.54,983.99,5.35,Partly Cloudy
35.99,30.8,1011.69,3.85,Sunny
21.67,89.77,987.59,13.95,Rainy
9.51,55.73,989.05,44.41,Stormy
19.84,54.65,976.08,15.9,Cloudy
15.6,39.11,1026.38,20.96,Partly Cloudy
33.48,16.78,1016.72,2.87,Sunny
26.92,99.0,999.08,19.86,Rainy
9.77,60.87,960.19,36.49,Stormy
10.11,70.45,976.12,22.23,Cloudy
17.18,49.2,1037.6,11.05,Partly Cloudy
35.82,32.65,988.84,7.51,Sunny
20.25,93.16,994.9,9.52,Rainy
11.69,61.76,987.68,47.31,Stormy
23.18,73.51,984.48,24.73,Cloudy
17.59,55.55,981.28,29.51,Partly Cloudy
35.56,32.6,982.63,11.45,Sunny
26.62,90.15,981.68,9.79,Rainy
1.66,73.58,962.19,36.98,Stormy
12.44,56.9,964.59,23.8,Cloudy
20.61,45.87,1007.45,20.71,Partly Cloudy
38.83,15.36,991.82,14.64,Sunny
20.57,70.68,975.91,0.53,Rainy
14.85,63.94,996.18,49.92,Stormy
19.0,51.0,964.9,17.22,Cloudy
18.12,54.25,1000.72,28.35,Partly Cloudy
33.02,30.81,1015.86,2.2,Sunny
18.45,73.22,975.59,10.25,Rainy
4.82,71.16,999.12,33.13,Stormy
18.11,52.97,979.11,17.91,Cloudy
28.93,45.65,974.54,14.7,Partly Cloudy
27.19,16.9,1004.72,1.01,Sunny
21.97,88.28,986.87,0.38,Rainy
14.78,68.36,988.93,36.51,Stormy
17.13,61.65,980.55,10.33,Cloudy
17.2,65.58,1018.33,8.64,Partly Cloudy
33.87,36.77,1008.0,2.23,Sunny
28.02,79.05,988.16,10.52,Rainy
12.76,96.58,996.48,30.16,Stormy
23.83,51.63,975.95,17.72,Cloudy
19.6,54.19,1003.56,28.36,Partly Cloudy
28.61,18.22,1016.83,1.15,Sunny
24.14,90.45,990.22,13.88,Rainy
2.59,92.63,957.0,38.02,Stormy
11.13,66.36,1000.18,24.12,Cloudy
24.79,51.64,1035.28,16.96,Partly Cloudy
33.42,27.88,996.4,12.58,Sunny
17.78,86.65,998.89,18.08,Rainy
13.26,75.44,982.16,37.88,Stormy
17.02,77.19,1015.84,23.43,Cloudy
12.77,64.0,1036.39,14.03,Partly Cloudy
32.78,33.37,1002.48,14.9,Sunny
21.84,91.42,1001.7,9.88,Rainy
12.85,77.31,970.58,32.16,Stormy
15.9,72.02,1015.28,13.78,Cloudy
17.1,36.16,1018.35,29.0,Partly Cloudy
34.61,28.51,1002.14,1.33,Sunny
25.94,88.06,996.46,17.98,Rainy
11.76,89.05,996.36,49.8,Stormy
18.72,53.27,987.55,21.81,Cloudy
10.55,32.28,974.7,23.28,Partly Cloudy
32.52,21.07,984.22,10.98,Sunny
19.82,77.96,996.09,11.18,Rainy
5.44,82.07,963.56,45.9,Stormy
13.44,54.77,1006.95,20.62,Cloudy
13.65,34.65,1028.69,24.41,Partly Cloudy
29.91,29.75,984.97,7.61,Sunny
15.28,81.75,972.99,9.5,Rainy
6.33,72.22,952.27,37.23,Stormy
21.35,61.07,1002.91,15.54,Cloudy
18.46,52.56,1036.55,7.72,Partly Cloudy
25.49,28.24,1017.96,14.85,Sunny
22.26,84.04,995.8,11.11,Rainy
9.51,93.7,987.32,39.94,Stormy
16.93,69.19,987.34,16.87,Cloudy
10.33,36.96,1004.2,25.57,Partly Cloudy
29.18,25.68,993.8,1.57,Sunny
29.37,95.64,973.14,14.4,Rainy
5.21,99.74,965.12,34.77,Stormy
18.52,75.05,971.55,20.64,Cloudy
11.23,66.76,975.68,27.86,Partly Cloudy
32.36,23.44,1018.93,14.86,Sunny
24.75,73.81,990.25,10.58,Rainy
7.72,78.47,950.94,44.22,Stormy
20.69,53.46,994.21,18.53,Cloudy
23.65,33.42,1013.86,12.02,Partly Cloudy
32.61,33.2,1008.23,1.78,Sunny
23.87,99.07,976.27,17.06,Rainy
10.54,88.7,964.1,35.76,Stormy
23.59,60.79,963.78,19.01,Cloudy
12.5,61.86,1014.92,26.87,Partly Cloudy
36.77,13.36,995.24,11.62,Sunny
21.26,99.17,999.43,0.31,Rainy
13.2,55.04,957.03,44.69,Stormy
22.97,66.09,977.34,15.27,Cloudy
16.86,43.07,987.0,20.22,Partly Cloudy
38.51,19.21,987.47,12.58,Sunny
26.13,97.93,976.62,2.89,Rainy
8.12,80.72,974.01,41.98,Stormy
12.71,64.39,999.49,16.49,Cloudy
23.59,48.05,993.35,12.59,Partly Cloudy
31.16,10.69,1006.74,12.68,Sunny
20.32,71.38,1009.47,5.27,Rainy
1.9,68.49,986.93,35.88,Stormy
18.62,62.47,967.07,14.95,Cloudy
24.5,54.48,978.38,9.08,Partly Cloudy
34.61,34.4,993.98,8.93,Sunny
17.56,79.34,970.81,15.37,Rainy
6.02,90.81,985.42,46.57,Stormy
14.28,55.55,1018.31,20.76,Cloudy
26.68,30.53,994.81,23.57,Partly Cloudy
26.17,27.02,997.16,0.26,Sunny
18.54,78.54,974.47,12.63,Rainy
3.64,63.88,994.91,39.34,Stormy
15.88,71.72,1014.58,10.38,Cloudy
18.96,54.43,992.3,24.31,Partly Cloudy
39.57,38.3,990.64,3.4,Sunny
29.36,83.76,978.33,14.14,Rainy
4.27,63.36,993.96,33.25,Stormy
10.97,58.08,996.42,11.85,Cloudy
19.43,55.09,1029.41,10.75,Partly Cloudy
37.26,17.05,1007.07,6.46,Sunny
16.72,91.43,978.71,3.53,Rainy
5.37,82.66,961.7,33.67,Stormy
10.15,64.15,985.72,13.51,Cloudy
11.07,47.17,1025.17,22.88,Partly Cloudy
37.91,10.29,1018.66,5.12,Sunny
29.86,77.58,988.86,7.08,Rainy
5.34,92.11,987.32,49.84,Stormy
19.2,63.9,965.4,24.95,Cloudy
21.03,58.02,998.47,18.69,Partly Cloudy
39.14,14.99,991.69,2.28,Sunny
26.88,71.86,973.27,5.97,Rainy
7.71,70.31,952.24,49.15,Stormy
24.29,58.38,1003.89,18.68,Cloudy
14.75,40.49,1004.38,15.48,Partly Cloudy
29.37,34.23,999.26,9.82,Sunny
17.84,86.01,982.72,10.53,Rainy
11.71,88.45,967.71,43.89,Stormy
24.12,68.77,968.9,20.2,Cloudy
12.1,64.88,1006.17,14.63,Partly Cloudy
25.86,21.42,1016.13,0.31,Sunny
22.12,97.93,985.79,8.56,Rainy
8.68,73.15,958.43,30.37,Stormy
19.15,77.62,966.38,13.16,Cloudy
17.4,62.35,988.85,27.05,Partly Cloudy
25.82,38.23,1002.43,9.88,Sunny
20.52,93.46,976.66,0.98,Rainy
5.93,92.68,987.75,40.34,Stormy
18.58,53.9,1010.44,21.8,Cloudy
23.13,48.65,1037.51,26.98,Partly Cloudy
34.67,21.15,1004.72,8.63,Sunny
20.91,79.2,986.28,11.48,Rainy
6.42,63.18,988.05,40.63,Stormy
11.02,61.05,1013.09,21.33,Cloudy
16.46,67.53,975.36,29.03,Partly Cloudy
28.69,10.27,997.35,5.38,Sunny
23.09,93.9,1003.7,8.02,Rainy
6.45,57.41,952.38,42.82,Stormy
10.97,72.01,992.35,12.98,Cloudy
20.79,37.32,1000.71,24.99,Partly Cloudy
31.93,14.46,1008.95,2.8,Sunny
26.08,84.38,988.15,17.03,Rainy
10.63,51.65,964.81,47.42,Stormy
10.27,66.36,1003.67,19.33,Cloudy
25.21,59.03,1018.44,25.54,Partly Cloudy
34.69,22.07,998.88,10.75,Sunny
28.14,78.17,983.68,18.61,Rainy
8.68,58.95,983.18,49.82,Stormy
22.35,72.37,972.48,23.14,Cloudy
20.52,65.57,993.09,6.55,Partly Cloudy
32.14,18.1,1008.61,14.36,Sunny
25.36,96.61,988.12,15.43,Rainy
12.65,85.54,975.39,42.52,Stormy
20.51,57.59,1008.57,24.25,Cloudy
19.3,58.04,1021.59,21.56,Partly Cloudy
33.21,36.45,997.96,0.92,Sunny
27.67,90.22,1003.97,2.77,Rainy
0.46,96.72,957.39,46.19,Stormy
22.35,71.26,967.88,20.01,Cloudy
27.78,47.02,998.95,16.07,Partly Cloudy
26.23,36.76,1014.77,14.97,Sunny
23.78,92.54,978.11,13.35,Rainy
9.75,95.06,991.54,48.77,Stormy
23.03,76.06,963.82,22.69,Cloudy
22.15,45.22,973.96,21.94,Partly Cloudy
29.92,24.03,1007.27,13.68,Sunny
27.38,83.52,985.51,4.8,Rainy
5.59,55.55,998.56,41.48,Stormy
11.92,60.58,992.82,17.99,Cloudy
10.71,68.03,989.28,5.4,Partly Cloudy
26.15,27.41,985.51,0.63,Sunny
20.69,88.68,974.47,6.27,Rainy
6.27,57.97,975.3,31.7,Stormy
10.7,65.6,974.87,11.43,Cloudy
18.48,66.61,1020.69,25.39,Partly Cloudy
38.08,39.18,1010.53,9.13,Sunny
20.48,75.45,997.47,19.9,Rainy
7.01,86.18,974.75,38.64,Stormy
16.15,65.14,982.01,21.23,Cloudy
27.49,65.32,985.94,27.4,Partly Cloudy
30.12,19.28,1009.07,4.57,Sunny
15.79,81.21,998.86,6.54,Rainy
9.44,83.01,986.69,47.94,Stormy
16.49,54.99,979.14,16.48,Cloudy
24.28,30.52,992.1,24.5,Partly Cloudy
35.06,31.95,1012.47,11.75,Sunny
25.23,83.19,1009.34,11.38,Rainy
3.04,64.64,984.68,48.49,Stormy
12.68,52.47,1012.89,23.73,Cloudy
15.53,45.09,1016.21,13.25,Partly Cloudy
38.16,13.23,981.52,3.13,Sunny
19.29,73.39,972.63,15.11,Rainy
2.46,95.7,968.4,43.41,Stormy
13.38,57.21,994.48,18.41,Cloudy
25.37,60.31,1016.95,16.23,Partly Cloudy
38.36,28.68,1019.61,12.29,Sunny
15.66,79.62,992.88,14.43,Rainy
8.26,89.31,964.13,33.68,Stormy
10.81,67.2,1001.32,14.89,Cloudy
22.27,32.09,976.95,22.54,Partly Cloudy
30.52,30.14,1013.27,12.79,Sunny
17.58,84.59,999.36,15.48,Rainy
11.77,61.41,959.63,41.8,Stormy
21.12,59.57,966.28,20.75,Cloudy
15.99,36.65,980.34,12.87,Partly Cloudy
33.89,20.75,980.83,1.45,Sunny
19.36,89.79,973.94,11.21,Rainy
1.8,60.58,958.61,31.34,Stormy
20.07,63.9,1009.86,11.48,Cloudy
12.89,42.26,1023.61,12.64,Partly Cloudy
31.13,19.05,983.21,14.09,Sunny
23.23,93.63,996.33,10.29,Rainy
1.35,82.14,957.77,38.29,Stormy
19.44,73.47,1001.1,20.07,Cloudy
12.98,43.85,973.0,22.99,Partly Cloudy
39.29,17.92,983.51,7.13,Sunny
27.85,86.56,971.87,19.49,Rainy
12.43,56.58,996.09,39.01,Stormy
15.58,63.83,1010.07,19.89,Cloudy
11.18,68.3,980.34,23.64,Partly Cloudy
34.54,15.63,986.83,13.05,Sunny
21.3,89.64,990.16,14.55,Rainy
7.19,64.37,968.17,47.18,Stormy
17.02,56.4,1016.08,21.95,Cloudy
11.11,69.96,1018.64,9.01,Partly Cloudy
28.56,30.77,1011.19,3.59,Sunny
18.85,79.21,993.92,3.44,Rainy
1.56,83.94,988.95,40.02,Stormy
15.46,62.96,983.3,24.4,Cloudy
25.36,38.32,996.89,18.6,Partly Cloudy
34.19,24.05,1012.41,11.51,Sunny
22.58,95.63,1000.04,15.57,Rainy
14.35,63.32,963.38,47.78,Stormy
21.58,77.8,963.79,19.42,Cloudy
12.89,50.16,980.9,8.2,Partly Cloudy
25.18,28.91,994.36,1.58,Sunny
19.84,75.07,1007.67,6.4,Rainy
5.01,91.99,982.39,44.2,Stormy
19.54,78.39,972.42,24.84,Cloudy
26.62,53.56,1016.37,21.22,Partly Cloudy
25.88,16.54,1018.46,8.02,Sunny
20.68,92.86,990.98,0.26,Rainy
11.04,86.61,958.26,49.13,Stormy
13.36,63.73,966.88,19.05,Cloudy
17.51,44.13,1027.89,5.24,Partly Cloudy
36.97,27.14,1019.44,8.84,Sunny
15.83,71.52,1005.33,16.82,Rainy
5.19,80.9,974.48,49.34,Stormy
24.25,79.52,1011.99,23.64,Cloudy
14.35,63.24,1019.62,29.07,Partly Cloudy
33.57,12.56,1003.9,10.3,Sunny
18.3,81.82,993.94,7.48,Rainy
5.62,56.65,997.04,45.01,Stormy
10.02,72.97,1004.39,10.15,Cloudy
17.39,54.27,1001.69,24.45,Partly Cloudy
31.38,14.62,1019.06,3.63,Sunny
25.77,74.29,983.16,8.84,Rainy
2.88,72.5,957.86,41.18,Stormy
19.96,51.87,1012.27,12.78,Cloudy
14.51,56.45,1002.81,17.48,Partly Cloudy
26.92,34.17,1004.68,2.03,Sunny
20.61,94.31,992.73,2.17,Rainy
5.59,62.13,975.87,46.87,Stormy
16.54,63.0,1014.32,18.64,Cloudy
21.32,40.48,1012.54,19.4,Partly Cloudy
30.95,39.72,1015.28,11.24,Sunny
23.06,83.86,977.4,6.11,Rainy
11.61,72.69,994.11,32.96,Stormy
